FAMILY	SPECIES	DESCRIPTION
"Family PLAGIOPYXIDAE Bonnet, 1959 "	"Cyclopyxis DEFLANDRE, 1929, "	"*572, p. 330 [*Cen.tropyxis arcelloides PENARD, 1902, *1435, p. 309; OD] [=Centropyxis ( Cyclopyxis) DEFLANDRE, 1929, *572, p. 330; =Centropyxis (Cylindropyxis) KuFFERATH, 1932, *1065, p. 56 (nom. nud.); =Leptodermella RHUMBLER, 1935, *1574, p. 177 (type, Pseudarcella arenata CusHMAN, 1930, ""'445,  p. 15)]. Test piano-convex with radial symmetry, rarely with truncated margin (diam., 0.06-0.30 mm.); aperture circular, large, symmetrical; dif.fering from Centropyxis in radial symmetry and from Trigonopyxis in large rounded, symmetrical aperture. [Cylindropyxis was defined as a sub.genus to include species with truncate margins, resulting in a quadrate end view. Leptodermella differs only in its somewhat larger size.] [Fresh water.] Mio.-Rec., Java-S.Am.-N.Am.-Afr.-Eu.-.FIG. 8,3,4. *C. arcelloides (PENARD), Rec.; Ja,b, Brit. Isles, basal and side views, X300 (""'302b); 4a,b, Switz., basal and side views, enlarged (*1435).--FIG. 8,5. c. cylindrica (KUFFERATH), Rec., Afr.(Congo); 5a,b, basal and edge views, approx. X450 (*1065).--FIG. 8,6. C. arenata (CusHMAN), Mio., USA(Fla.); 6a,b, basal and edge views, X85 (*445).   "
"Family PLAGIOPYXIDAE Bonnet, 1959 "	"Silicoplacentina KovARY, 1956, "	"'1049, p. 269 ['S. hungarica; OD]. Test flattened, discoidal, larger forms somewhat elongate, commonly crushed in preservation (diam. 0.25-1.2 mm.); interior of chamber simple; wall thick, siliceous, granular in appearance, surface wrinkled, white; aperture at end of short projection, somewhat eccentric. Plio., Eu.(Hung.).--FIG. 8,7. *S. hungarica; 7a, edge view, X38; 7b, photograph of specimen,  "
"Family HYALOSPHENIIDAE Schulze, 1877 "	"Apodera LoEBLICH & TAPPAN, 1961, "	"*1181, p. 215 [*Nebela vas CERTEs, 1891, *307, p. Ll5; OD] [=Apodera JUNG, 1942, *1005, p. 256; *1006, p. 369, 380 (nom. nud.)]. Test (length, 130-210µ), with subspherical body separated from narrowed neck by distinct constriction, represented in in.terior by a pseudochitinous girdle; wall composed of large, regular, oval plates. Rec., S.Hemis.-S.Am..Australia-Hawaii-Java-Afr.--FIG. 11,3. ´A. vas (CERTEs), Cape Horn (3a), Chile (3b); 3a, side view, approx. x350 (*307); 3b, edge view,   "
"Family HYALOSPHENIIDAE Schulze, 1877 "	"Awerintzewia ScHOUTEDEN, 1906, "	"´1675, p. 356, 357 [*Heleopera cyclostoma PENARD, 1902, *1435,  p. 390); OD(M)] [ =Averintzia WAILES in CASH, WAILES & HOPKINSON, 1919, *302b, p. 64 (nom. van.); =Awerintzia CALKINS, 1926, *268, p. 341 (nom. van.); =Awerintzevia NEAVE, 1939, ´J348a, p. 374 (nom. van.); =Averinzia JUNG, 1942, *1006, p. 385 (nom. van.); =Averincevia JfRovEc, 1953, *994, p. 321 (nom. van.); ?=Phy.sochila JuNG, 1942, *1005, p. 256, 301; *1006, p. 369, 370 ( nom. nud.)]. Test ovate and com.pressed (length, 135-180µ), composed of nu.merous, large, siliceous plates on pseudochitinous base with very small plates in intervening spaces, possibly with some foreign material at aboral end; aperture ovate, terminal, surrounded by distinctly thickened border. [In aquatic moss and sphag.num.] Rec., Eu.-N. Am.-S. Am.-W. Ind. O.(Sey.chelles).--FIG. 11,J,2. *A. cyclostoma (PENARD), G.Brit. (!), Switz. (2); la,b, side and top views, X240 (*302b); 2a,b, side view and vert. sec. showing thickening near aperture, X240 (*1435).   "
"Family HYALOSPHENIIDAE Schulze, 1877 "	"Certesella 	LoEBLICH & TAPPAN, 1961, "	"*1181, p. 215 [*Nebela martiali CERTEs, 1891, ´307, p. Ll4); OD] [=Penardiella (Nebela) JuNG, 1942, *1005,  p. 256, 317; *1006, p. 381 (nom. nud.) (non Penardiella KAHL, 1930)]. Test pseudochitinous, flask-shaped (length 80-200µ) with large, very thin, almost transparent, polygonal plates; 6 large pores arranged in pairs, first pair about midway on neck, other pairs perpendicular to these at base of neck, additional small pores occurring near aperture. [On moss.] Rec., S.Am.-S.Hemis.-.FIG. 10,3. *C. martiali (CERTEs), Cape Horn; approx. X300 (*307).   "
"Family HYALOSPHENIIDAE Schulze, 1877 "	"Heleopera LEIDY, 1879, "	"*1127, p. 162 (*H. picta LEIDY, 1879 (=*Difflugia (Nebela) Sphagni LEIDY, 1875, *1125, p. 157); OD]. Test ovate, compressed, transparent, amorphous scales cover.ing chitinoid membrane and presenting reticulated appearance, may have agglutinated foreign mate.rial at base; aperture, narrow, elliptical, g1vmg notched appearance in edge view; nucleus single, posterior; pseudopodia numerous, thin, bifur.cating. Pleist.-Rec., Eu.-N.Am.-S.Am.-E.Indies. --FIG. 12,4. *H. sphagni (LEIDY), Rec., USA  (N.J.); 4a-c, side, edge and top view of empty test, showing form of test and aperture; 4d, side view showing character of pseudopodia, X330 (*1127).--FIG. 12,5,6. H. petricola LEIDY, Rec., USA(N.J.); empty tests, showing siliceous plates, and agglutinated foreign matter near base; 5a,6, side views; 5b, edge; X 115 (*1127).   "
"Family HYALOSPHENIIDAE Schulze, 1877 "	"Jungia 	LOEBLICH & TAPPAN, 1961, "	"*1181, p. 216 (*/. sundanensis VAN OYE, 1949, *1976, p. 331; OD] [=/ungia VAN OYE, 1949, *1976, p. 330 ( nom. nud.)]. Test saclike, globular to ovate, not compressed, of polygonal or elongate plates with rim of sand grains around aperture forming col.lar; aperture round, central. (On moss.] Rec., Java-S.Am.(Venez.).--FIG. 12,7. ""/. sundanen.sis VAN OYE, Java; side view, X430 (*1976).   Awerintzewia   Apodera  (p. C29, C32).  "
"Family HYALOSPHENIIDAE Schulze, 1877 "	"Leptochlamys WEsT, 1901 "	", ´2046, p. 325 [´L. am.Rec., Eu.--FIG. 10,2. ´L. ampullacea, Wales; pullacea; OD(M)]. Shell ovoid, thin, transparent, 2a, side view showing subglobular pseudopodium chitinoid, circular in section (length, 48-55µ), and large nucleus (n); 2b, outline from above, aperture circular, slightly eccentric; test filled by showing circular aperture and rounded sec., protoplasm; nucleus large, vacuoles absent; single, X520 (*2046). short, expanded pseudopodium. [Fresh water.] Lesquereusia SCHLUMBERGER, 1845, ´1669, p. 255   I  I  Sb     801´ \  ' "" ""doo´b´lo ' '  Jungia   [*L. jurassica; OD(M)] [=Lecqttereusia ScHLUM‡ BERGER, 1845, *1669, p. 255 (obj .) ( nom. imperf.); Lesquereusia AGASSIZ, 1846, *6, p. 203, 208 ( nom. correct.)]. Test compressed, ovoid or globose with asymmetrical neck, giving the appearance of a semispiral , up to 135µ in length, wall a transparent chitinous membrane with closely interwoven vermiform pellets or more rarely agglutinated foreign matter; proto. plasm partially filling the test with a narrow band of ectoplasm extending up through the neck to the rounded aperture; nucleus single, posterior in position; pseudopodia long, blunt, simple or bifid. [As brought out by CASH & HOPKINSON (301, p. 66) the correct name for the species with vermiform pellets is L. jttrassica SCHLUMBERGER, and L. spiralis (EHRENBERG) correctl y refers to the agglutinated species.] [Fresh water.] Rec.,    cosmop.--FIG. 10,6. ""L jurassica, N.J.(6a,b), Switz.(6c); 6a,b, side and edge view, X250 (*1127); 6c, enlargement of pellets ca. X350 (*1435).--FIG. 10,7. L. spiralis (EHRENBERG), USA(N.J.); side view showing agglutinated test and elongate pseudopodia, X250 (""1127).   "
"Family HYALOSPHENIIDAE Schulze, 1877 "	"Nebela LEIDY, 1875, "	"0 1125, p. 156 [*Ditfiugia (Nebela) numata LEIDY, 1875; SD LoEBLICH & TAPPAN, herein, =*Ditfiugia collaris EHRENBERG, 1848, *676, p. 218, =Nebela collaris (EHREN.BERG) LEIDY, 1879, ""1127, p. 150] [=Ditfiugia (Reticella) EHRENBERG, 1872, 0 688, p. 247 (type, Ditfiugia ( Reticella) collaris EHRENBERG, 1872, =Ditfiugia collaris EHRENBERG, 1848, SD LoEB.LICH & TAPPAN, herein) (non Reticella GRAY, 1870); =Cyphoderiopsis PLAYFAIR, 1918, 0 1459,  p.  669 (type, Nebela longicollis PENARD, 1890, *1433, p. 158; =Nebella BARTOS, 1938, ""96, p. 346 (nom. null.); =Argynnia JUNG, 1942, ""1005,   p.  256, 302; ""1006, p. 369, 371 ( nom. nud.); =Leidyella JuNG, 1942, *1006, p. 369, 384 (nom. nud.); =Umbonaria JuNG, 1942, *1005, p. 256; ""1006, p. 370, 382 (nom. nud.); =Pterygia JUNG, 1942, *1005, p. 313; *1006, p. 370, 382 (type,   P.  carinulata JUNG, 1942 (non Pterygia BoLTEN, 1798, nee LAPORTE, 1832); =Schaudinnia JUNG, 1942, ""1005, p. 311; ""1006, p. 369, 379 (nom. nud.) (non SCHULZE, 1900); =Defiandria JUNG, 1942, ""1005, p. 256, 307; 0 1006, p. 369, 373 ( nom. nud.)]. Test thin, pseudochitinous, trans.parent, ovate, pyriform or elongate, compressed (length to 180µ), may have lateral chamber ex.tensions; surface with numerous oval or circular plates or scales of variable size, or rarely rec.tangular or rodlike plates; protoplasm granular, colorless, but may contain colored food vacuoles; single nucleus; pseudopodia variable in number, blunt, rarely bifid, protoplasmic body attached to test interior by strands or bands of ectoplasm. [The type-species was stated by DEFLANDRE (""576) to be Nebela collaris (EHRENBERG) LEIDY, but this species was not among the six originally included by LEIDY (*1125) and accordingly is ineligible to be the type. The type is here desig.nated as Ditfiugia (Nebela) numata LEIDY, which is, however, a junior subjective synonym of N. collaris.] Pleist.-Rec., cosmop.--FIG. 12,J. *N. collaris (EHRENBERG). Rec., USA(N.J.); Ja-c, side, edge and top views, X330 (0 1127).-.FIG. 12,2. N. longicollus PENARD, Rec., Australia; 2a,b, lat. view and detail of aperture, X 440 (""1459).--FIG. 12,3. N. ansata LEIDY, Rec., USA(N.J.); 3a, active individual with protoplasm filling shell, X 115; 3b, contracted protoplasm attached to shell by ectoplasmic threads, X 115    (*1127).   "
"Family HYALOSPHENIIDAE Schulze, 1877 "	"Pseudawerintzewia BONNET, 1959, "	"169, p. 186 [*P. calcicola; OD(M)]. Test similar to Awer.intzewia but circular rather than compressed in section; wall progressively thicker from base to oral region, with amorphous siliceous scales in abundant chitinoid cement, aperture elliptical, commonly with chitinoid epiphragm. [Neither living animal nor cysts have been observed. The epiphragm"" is similar to that of the Phryganelli.dae, but may be only dried cytoplasm at the opening. Because of the similarity of test features, Pseudawerintzewia is here placed in the Hyalo.spheniidae.] Rec., Eu.(Fr.).--F1G. 11,5. *P. calcicola; 5a, optical sec., showing wall thicken.ing toward aperture, X 440; 5b, apert. view show.ing circular sec. and ovate aperture with epi.phragm, X440 (""169). Pseudonebela GAUTHIER-LIEVRE, 1954, *773, p. 363 [*P. africana; OD(M)]. Test lagenoid (length, 90-100µ), with elongate neck; wall transparent, of secreted oval or circular plates in a chitinoid cement with some foreign matter; aperture ter.minal, round, with thickened rim from which project 3 to 5 denticulations formed by small triangular platelets. [Fresh water.] Rec., Afr.-.FIG. 12,8. ""P. africana; 8a,b, side view of test and oblique view of aperture showing teeth, X 400 (""773). Quadrulella COCKERELL, 1909, *351, p. 565 [""Ditfiugia proteiformis var. symmetrica WALLICH, 1863, 0 2034, p. 458; OD] [=Quadrula ScHULZE, 1875, ""1698b, p. 329, 330 (obj.)(non RAFINESQUE, 1820) ]. Test compressed, pyriform (length, approx. 85-100µ), transparent, with large, thin, square chitinoid plates in transverse to slightly oblique series, adjacent but not overlapping; aperture ter.minal, oval; protoplasm colorless, granular, with single nucleus; pseudopodia few, broad, digitate, rarely bifid. [DEFLANDRE & DEFLANDRE-RIGAUD (*577, p. 229) have stated that Ditfiugia? marina BAILEY, 1856, is identical with Quadrulella sym.metrica (WALLICH), 1863, yet regard the older name as the rejected synonym. If the two are identical, the oldest name must be the valid one, regardless of its applicability to a fresh-water form, and regardless of the length of time that has lapsed without such recognition. We do not regard the two species as identical, however, although they are undoubtedly congeneric. The species differ in relative size and number of plates (Quadrulella marina having fewer, larger,   and less regularly arranged plates), and in test more distinctly separated neck) .] [On sphagnum size an<l proportions (Q. marina being much smal.and moss. J Eoc. -Rec., Eu.-N.Am.-S.Am.-Ind.O. ler an<l having a more pyriform outline and (Seychelles)-MalayArch.(Borneo)-Afr.--F1c. 11,  lb  Paraquadrula  / 3  Sc  Cucurbitella  Difflugia  I  9b  6b  7b ‡    Loboforamina Prantlitina Sexangularia   C34 Protista-Sarcodina  A  D E   4. *Q. symmetrica (WALLICH), Rec., Ger.; 4a,b, living individual showing pseudopodia and edge view of empty test, X400 (*1698b).  "
"Family DIFFLUGIIDAE Wallich, 1864 "	"Cucurbitella PENARD, 1902, "	"*1435, p. 310 (*C.  mespiliformis; OD(M)] [=Cingodiffiugia JuNG,  1942, *1005, p. 255, 283 (nom. nud.); =Eustoma    ~ lb~  Pontigulasia  Pseudopontigulasia   "
"Family DIFFLUGIIDAE Wallich, 1864 "	"Loboforamina JuNG, 1942, "	"0 1005, p. 255, 282 [*Diff/ugia lobostoma LEIDY var. globulus PLAY.FAIR, 1918, *1459, p. 644, =Loboforamina play.fairi LoEBLICH & TAPPAN, nom. nov., herein (non Arcelia globulus EHRENBERG, 1848, =Difflugia globulus (EHRENBERG) CASH & HOPKINSON, 1909, ""301, p. 33); OD(M)] [=Corona VEJDOVSKY, 1881, 0 1999, p. 137 (type, C. cornula, =Difflugia proteiformis subsp. globularis var. corona WAL.LICH, 1864, *2035, p. 241) (non Corona ALBERS, 1850, nee RECLUZ, 1850, nee BARRANDE in WAAGEN & ]AHN, 1899; nee ]EKELIUS, 1932); =Difflugia ( Pseudocucurbitella) GAUTHIER.L1E:vRE & THOMAS, 1960, 0 775, p. 589, 591 (nom. nud.)]. Similar to Diff/ugia but with 3-to 6.lobed aperture; differs from Cucttrbitella in lack.ing lobed collar; 60-80µ in length. [Fresh water.]   "
"Family DIFFLUGIIDAE Wallich, 1864 "	"Maghrebia GAUTHIER-LIEVRE & THOMAS, 1958, "	"0 774, p. 350 [""M. spatulata; OD]. Test agglu.tinated (length 95-125µ), similar to Diff/ugia but with large protuberances (commonly 4) at aper.tural shoulder, directed toward aperture; aperture rounded, with border of closely spaced sand grains; pseudopodia elongate, lobose. [Marshes.] Rec., Afr.(Algeria).--FIG. 16,1. *M. spatulata; la,b, side views; le, apert. view; id, apert. area showing pseudopodia; all X225 ( 0 774).  "
