"Family STEMONITIDAE Fries, 1829 "
"Family AMMODISCIDAE Reuss, 1862 "
"Family AMMODISCIDAE Reuss, 1862 "
"Family AMMODISCIDAE Reuss, 1862 "
"Family AMMODISCIDAE Reuss, 1862 "
"Family HORMOSINIDAE Haeckel, 1894 "
"Family HORMOSINIDAE Haeckel, 1894 "
"Family HORMOSINIDAE Haeckel, 1894 "
"Family HORMOSINIDAE Haeckel, 1894 "
"Family HORMOSINIDAE Haeckel, 1894 "
"Family HORMOSINIDAE Haeckel, 1894 "
"Family HORMOSINIDAE Haeckel, 1894 "
"Family HORMOSINIDAE Haeckel, 1894 "
"Family RZEHAKINIDAE Cushman, 1933 "
"Family RZEHAKINIDAE Cushman, 1933 "
"Family RZEHAKINIDAE Cushman, 1933 "
"Family RZEHAKINIDAE Cushman, 1933 "
"Family RZEHAKINIDAE Cushman, 1933 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family LITUOLIDAE de Blainville, 1825 "
"Family TEXTULARIIDAE Ehrenberg, 1838 "
"Family TEXTULARIIDAE Ehrenberg, 1838 "
"Family TEXTULARIIDAE Ehrenberg, 1838 "
"Family TEXTULARIIDAE Ehrenberg, 1838 "
"Family TEXTULARIIDAE Ehrenberg, 1838 "
"Family TEXTULARIIDAE Ehrenberg, 1838 "
"Family TEXTULARIIDAE Ehrenberg, 1838 "
"Family TEXTULARIIDAE Ehrenberg, 1838 "
"Family TEXTULARIIDAE Ehrenberg, 1838 "
"Family TEXTULARIIDAE Ehrenberg, 1838 "
"Family TEXTULARIIDAE Ehrenberg, 1838 "
"Family TEXTULARIIDAE Ehrenberg, 1838 "
"Family TEXTULARIIDAE Ehrenberg, 1838 "
"Family TEXTULARIIDAE Ehrenberg, 1838 "
"Family TEXTULARIIDAE Ehrenberg, 1838 "
"Family TEXTULARIIDAE Ehrenberg, 1838 "
"Family TEXTULARIIDAE Ehrenberg, 1838 "
"Family TEXTULARIIDAE Ehrenberg, 1838 "
"Family TROCHAMMINIDAE Schwager, 1877 "
"Family TROCHAMMINIDAE Schwager, 1877 "
"Family TROCHAMMINIDAE Schwager, 1877 "
"Family TROCHAMMINIDAE Schwager, 1877 "
"Family TROCHAMMINIDAE Schwager, 1877 "
"Family TROCHAMMINIDAE Schwager, 1877 "
"Family TROCHAMMINIDAE Schwager, 1877 "
"Family TROCHAMMINIDAE Schwager, 1877 "
"Family TROCHAMMINIDAE Schwager, 1877 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family ATAXOPHRAGMIIDAE Schwager, 18i7 "
"Family PAVONITINIDAE Loeblich & Tappan, 1961 "
"Family PAVONITINIDAE Loeblich & Tappan, 1961 "
"Family PAVONITINIDAE Loeblich & Tappan, 1961 "
"Family PAVONITINIDAE Loeblich & Tappan, 1961 "
"Family PAVONITINIDAE Loeblich & Tappan, 1961 "
"Family PAVONITINIDAE Loeblich & Tappan, 1961 "
"Family PAVONITINIDAE Loeblich & Tappan, 1961 "
"Family PAVONITINIDAE Loeblich & Tappan, 1961 "
"Family PAVONITINIDAE Loeblich & Tappan, 1961 "
"Family PAVONITINIDAE Loeblich & Tappan, 1961 "
"Family PAVONITINIDAE Loeblich & Tappan, 1961 "
"Family PAVONITINIDAE Loeblich & Tappan, 1961 "
"Family PAVONITINIDAE Loeblich & Tappan, 1961 "
"Family PAVONITINIDAE Loeblich & Tappan, 1961 "
"Family PAVONITINIDAE Loeblich & Tappan, 1961 "
"Family PAVONITINIDAE Loeblich & Tappan, 1961 "
"Family PAVONITINIDAE Loeblich & Tappan, 1961 "
"Family PAVONITINIDAE Loeblich & Tappan, 1961 "
"Family ORBITOLINIDAE Martin, 1890 "
"Family ORBITOLINIDAE Martin, 1890 "
"Family PARATHURAMMINIDAE E. V. Bykova, 1955 "
"Family CALIGELLIDAE Reytlinger, 1959 "
"Family MORAVAMMINIDAE Pokorny, 1951 "
"Family MORAVAMMINIDAE Pokorny, 1951 "
"Family MORAVAMMINIDAE Pokorny, 1951 "
"Family MORAVAMMINIDAE Pokorny, 1951 "
"Family NODOSINELLIDAE Rhumbler, 1895 "
"Family NODOSINELLIDAE Rhumbler, 1895 "
"Family COLANIELLIDAE Fursenko, 1959 "
"Family PTYCHOCLADIIDAE Elias, 1950 "
"Family PTYCHOCLADIIDAE Elias, 1950 "
"Family PTYCHOCLADIIDAE Elias, 1950 "
"Family PTYCHOCLADIIDAE Elias, 1950 "
"Family PTYCHOCLADIIDAE Elias, 1950 "
"Family PTYCHOCLADIIDAE Elias, 1950 "
"Family PALAEOTEXTULARIIDAE Galloway, 1933 "
"Family PALAEOTEXTULARIIDAE Galloway, 1933 "
"Family PALAEOTEXTULARIIDAE Galloway, 1933 "
"Family PALAEOTEXTULARIIDAE Galloway, 1933 "
"Family SEMITEXTULARIIDAE Pokorny, 1956 "
"Family SEMITEXTULARIIDAE Pokorny, 1956 "
"Family TETRAT AXIDAE Galloway, 1933 "
"Family TETRAT AXIDAE Galloway, 1933 "
"Family BISERIAMMINIDAE Chernysheva, 1941 "
"Family BISERIAMMINIDAE Chernysheva, 1941 "
"Family BISERIAMMINIDAE Chernysheva, 1941 "
"Family TOURNAYELLIDAE Dain, 1953 "
"Family TOURNAYELLIDAE Dain, 1953 "
"Family TOURNAYELLIDAE Dain, 1953 "
"Family TOURNAYELLIDAE Dain, 1953 "
"Family TOURNAYELLIDAE Dain, 1953 "
"Family ENDOTHYRIDAE Brady, 1884 "
"Family ENDOTHYRIDAE Brady, 1884 "
"Family ENDOTHYRIDAE Brady, 1884 "
"Family ENDOTHYRIDAE Brady, 1884 "
"Family ENDOTHYRIDAE Brady, 1884 "
"Family ENDOTHYRIDAE Brady, 1884 "
"Family ENDOTHYRIDAE Brady, 1884 "
"Family ENDOTHYRIDAE Brady, 1884 "
"Family ENDOTHYRIDAE Brady, 1884 "
"Family ENDOTHYRIDAE Brady, 1884 "
"Family ENDOTHYRIDAE Brady, 1884 "
"Family ENDOTHYRIDAE Brady, 1884 "
"Family ENDOTHYRIDAE Brady, 1884 "
"Family ENDOTHYRIDAE Brady, 1884 "
"Family ENDOTHYRIDAE Brady, 1884 "
"Family ARCHAEDISCIDAE Cushman, 1928 "
"Family ARCHAEDISCIDAE Cushman, 1928 "
"Family ARCHAEDISCIDAE Cushman, 1928 "
"Family LASIODISCIDAE Reytlinger, 1956 "
"Family LASIODISCIDAE Reytlinger, 1956 "
"Family LASIODISCIDAE Reytlinger, 1956 "
"Family LASIODISCIDAE Reytlinger, 1956 "
"Family OZAW AINELLIDAE Thompson & Foster, 1937 "
"Family OZAW AINELLIDAE Thompson & Foster, 1937 "
"Family STAFFELLIDAE Miklukho-Maklay, 1949 "
"Family STAFFELLIDAE Miklukho-Maklay, 1949 "
"Family STAFFELLIDAE Miklukho-Maklay, 1949 "
"Family STAFFELLIDAE Miklukho-Maklay, 1949 "
"Family STAFFELLIDAE Miklukho-Maklay, 1949 "
"Family FUSULINIDAE von Moller, 1878 "
"Family FUSULINIDAE von Moller, 1878 "
"Family FUSULINIDAE von Moller, 1878 "
"Family FUSULINIDAE von Moller, 1878 "
"Family FUSULINIDAE von Moller, 1878 "
"Family FUSULINIDAE von Moller, 1878 "
"Family FUSULINIDAE von Moller, 1878 "
"Family FUSULINIDAE von Moller, 1878 "
"Family FUSULINIDAE von Moller, 1878 "
"Family FUSULINIDAE von Moller, 1878 "
"Family FUSULINIDAE von Moller, 1878 "
"Family FUSULINIDAE von Moller, 1878 "
"Family FUSULINIDAE von Moller, 1878 "
"Family FUSULINIDAE von Moller, 1878 "
"Family FUSULINIDAE von Moller, 1878 "
"Family FUSULINIDAE von Moller, 1878 "
"Family FUSULINIDAE von Moller, 1878 "
"Family FUSULINIDAE von Moller, 1878 "
"Family FUSULINIDAE von Moller, 1878 "
"Family FUSULINIDAE von Moller, 1878 "
"Family FUSULINIDAE von Moller, 1878 "
"Family FUSULINIDAE von Moller, 1878 "
"Family FUSULINIDAE von Moller, 1878 "
"Family FUSULINIDAE von Moller, 1878 "
"Family FUSULINIDAE von Moller, 1878 "
"Family VERBEEKINIDAE Staff & Wedekind, 1910 "
"Family VERBEEKINIDAE Staff & Wedekind, 1910 "
"Family VERBEEKINIDAE Staff & Wedekind, 1910 "
"Family VERBEEKINIDAE Staff & Wedekind, 1910 "
"Family VERBEEKINIDAE Staff & Wedekind, 1910 "
"Family VERBEEKINIDAE Staff & Wedekind, 1910 "
"Family VERBEEKINIDAE Staff & Wedekind, 1910 "
"Family VERBEEKINIDAE Staff & Wedekind, 1910 "
"Family VERBEEKINIDAE Staff & Wedekind, 1910 "
"Family VERBEEKINIDAE Staff & Wedekind, 1910 "
"Family VERBEEKINIDAE Staff & Wedekind, 1910 "
"Family VERBEEKINIDAE Staff & Wedekind, 1910 "
"Family VERBEEKINIDAE Staff & Wedekind, 1910 "
"Family VERBEEKINIDAE Staff & Wedekind, 1910 "
"Family VERBEEKINIDAE Staff & Wedekind, 1910 "
"Family FISCHERINIDAE Millett, 1898 "
"Family FISCHERINIDAE Millett, 1898 "
"Family FISCHERINIDAE Millett, 1898 "
"Family FISCHERINIDAE Millett, 1898 "
"Family FISCHERINIDAE Millett, 1898 "
"Family FISCHERINIDAE Millett, 1898 "
"Family FISCHERINIDAE Millett, 1898 "
"Family FISCHERINIDAE Millett, 1898 "
"Family FISCHERINIDAE Millett, 1898 "
"Family FISCHERINIDAE Millett, 1898 "
"Family FISCHERINIDAE Millett, 1898 "
"Family FISCHERINIDAE Millett, 1898 "
"Family FISCHERINIDAE Millett, 1898 "
"Family FISCHERINIDAE Millett, 1898 "
"Family FISCHERINIDAE Millett, 1898 "
"Family FISCHERINIDAE Millett, 1898 "
"Family FISCHERINIDAE Millett, 1898 "
"Family NUBECULARIIDAE Jones, 1875 "
"Family NUBECULARIIDAE Jones, 1875 "
"Family NUBECULARIIDAE Jones, 1875 "
"Family NUBECULARIIDAE Jones, 1875 "
"Family NUBECULARIIDAE Jones, 1875 "
"Family NUBECULARIIDAE Jones, 1875 "
"Family NUBECULARIIDAE Jones, 1875 "
"Family NUBECULARIIDAE Jones, 1875 "
"Family NUBECULARIIDAE Jones, 1875 "
"Family NUBECULARIIDAE Jones, 1875 "
"Family NUBECULARIIDAE Jones, 1875 "
"Family NUBECULARIIDAE Jones, 1875 "
"Family NUBECULARIIDAE Jones, 1875 "
"Family NUBECULARIIDAE Jones, 1875 "
"Family NUBECULARIIDAE Jones, 1875 "
"Family NUBECULARIIDAE Jones, 1875 "
"Family NUBECULARIIDAE Jones, 1875 "
"Family MILIOLIDAE Ehrenberg, 1839 "
"Family MILIOLIDAE Ehrenberg, 1839 "
"Family MILIOLIDAE Ehrenberg, 1839 "
"Family MILIOLIDAE Ehrenberg, 1839 "
"Family MILIOLIDAE Ehrenberg, 1839 "
"Family MILIOLIDAE Ehrenberg, 1839 "
"Family MILIOLIDAE Ehrenberg, 1839 "
"Family MILIOLIDAE Ehrenberg, 1839 "
"Family MILIOLIDAE Ehrenberg, 1839 "
"Family MILIOLIDAE Ehrenberg, 1839 "
"Family MILIOLIDAE Ehrenberg, 1839 "
"Family MILIOLIDAE Ehrenberg, 1839 "
"Family MILIOLIDAE Ehrenberg, 1839 "
"Family MILIOLIDAE Ehrenberg, 1839 "
"Family MILIOLIDAE Ehrenberg, 1839 "
"Family MILIOLIDAE Ehrenberg, 1839 "
"Family MILIOLIDAE Ehrenberg, 1839 "
"Family MILIOLIDAE Ehrenberg, 1839 "
"Family MILIOLIDAE Ehrenberg, 1839 "
"Family MILIOLIDAE Ehrenberg, 1839 "
"Family MILIOLIDAE Ehrenberg, 1839 "
"Family MILIOLIDAE Ehrenberg, 1839 "
"Family MILIOLIDAE Ehrenberg, 1839 "
"Family MILIOLIDAE Ehrenberg, 1839 "
"Family MILIOLIDAE Ehrenberg, 1839 "
"Family MILIOLIDAE Ehrenberg, 1839 "
"Family MILIOLIDAE Ehrenberg, 1839 "
"Family MILIOLIDAE Ehrenberg, 1839 "
"Family MILIOLIDAE Ehrenberg, 1839 "
"Family BARKERINIDAE Smout, 1956 "
"Family BARKERINIDAE Smout, 1956 "
"Family SORITIDAE Ehrenberg, 1839 "
"Family SORITIDAE Ehrenberg, 1839 "
"Family SORITIDAE Ehrenberg, 1839 "
"Family SORITIDAE Ehrenberg, 1839 "
"Family SORITIDAE Ehrenberg, 1839 "
"Family SORITIDAE Ehrenberg, 1839 "
"Family SORITIDAE Ehrenberg, 1839 "
"Family SORITIDAE Ehrenberg, 1839 "
"Family SORITIDAE Ehrenberg, 1839 "
"Family SORITIDAE Ehrenberg, 1839 "
"Family SORITIDAE Ehrenberg, 1839 "
"Family SORITIDAE Ehrenberg, 1839 "
"Family SORITIDAE Ehrenberg, 1839 "
"Family SORITIDAE Ehrenberg, 1839 "
"Family SORITIDAE Ehrenberg, 1839 "
"Family SORITIDAE Ehrenberg, 1839 "
"Family SORITIDAE Ehrenberg, 1839 "
"Family SORITIDAE Ehrenberg, 1839 "
"Family SORITIDAE Ehrenberg, 1839 "
"Family SORITIDAE Ehrenberg, 1839 "
"Family SORITIDAE Ehrenberg, 1839 "
"Family SORITIDAE Ehrenberg, 1839 "
"Family ALVEOLINIDAE Ehrenberg, 1839 "
"Family ALVEOLINIDAE Ehrenberg, 1839 "
"Family ALVEOLINIDAE Ehrenberg, 1839 "
"Family ALVEOLINIDAE Ehrenberg, 1839 "
"Family ALVEOLINIDAE Ehrenberg, 1839 "
"Family ALVEOLINIDAE Ehrenberg, 1839 "
"Family ALVEOLINIDAE Ehrenberg, 1839 "
"Family ALVEOLINIDAE Ehrenberg, 1839 "
"Family ALVEOLINIDAE Ehrenberg, 1839 "
